ORDERNUMBER,QUANTITYORDERED,PRICEEACH,STATUS,PRODUCTLINE,PRODUCTCODE,COUNTRY
10107,30,95.7,Shipped,Motorcycles,S10_1678,USA
10121,34,81.35,Shipped,Motorcycles,S10_1678,France
10134,41,94.74,Shipped,Motorcycles,S10_1678,France
10145,45,83.26,Shipped,Motorcycles,S10_1678,USA
10159,49,,Shipped,Motorcycles,S10_1678,USA
10168,36,96.66,Shipped,Motorcycles,S10_1678,USA
10180,29,86.13,Shipped,Motorcycles,S10_1678,France
10188,48,100,Shipped,Motorcycles,S10_1678,Norway
10201,22,98.57,Shipped,Motorcycles,S10_1678,USA
10211,41,100,Shipped,Motorcycles,S10_1678,France
10223,37,100,Shipped,Motorcycles,S10_1678,Australia
10237,23,100,Shipped,Motorcycles,S10_1678,USA
10251,28,100,Shipped,Motorcycles,S10_1678,USA
10263,34,100,Shipped,Motorcycles,S10_1678,USA
10275,45,92.83,Shipped,Motorcycles,S10_1678,France
10285,36,100,Shipped,Motorcycles,S10_1678,USA
10299,23,100,Shipped,Motorcycles,S10_1678,Finland
10309,41,100,Shipped,Motorcycles,S10_1678,Norway
10318,46,94.74,Shipped,Motorcycles,S10_1678,USA
10329,42,100,Shipped,Motorcycles,S10_1678,USA
10341,41,100,Shipped,Motorcycles,S10_1678,Austria
10361,20,72.55,Shipped,Motorcycles,S10_1678,Australia
10375,21,34.91,Shipped,Motorcycles,S10_1678,France
10388,42,76.36,Shipped,Motorcycles,S10_1678,USA
10403,24,100,Shipped,Motorcycles,S10_1678,UK
10417,66,100,Disputed,Motorcycles,S10_1678,Spain
10103,26,100,Shipped,Classic Cars,S10_1949,Norway
10112,29,100,Shipped,Classic Cars,S10_1949,Sweden
10126,38,100,Shipped,Classic Cars,S10_1949,Spain
10140,37,100,Shipped,Classic Cars,S10_1949,USA
10150,45,100,Shipped,Classic Cars,S10_1949,Singapore
10163,21,100,Shipped,Classic Cars,S10_1949,USA
10174,34,100,Shipped,Classic Cars,S10_1949,Australia
10183,23,100,Shipped,Classic Cars,S10_1949,USA
10194,42,100,Shipped,Classic Cars,S10_1949,France
10206,47,100,Shipped,Classic Cars,S10_1949,Canada
10215,35,100,Shipped,Classic Cars,S10_1949,USA
10228,29,100,Shipped,Classic Cars,S10_1949,USA
10245,34,100,Shipped,Classic Cars,S10_1949,USA
10258,32,100,Shipped,Classic Cars,S10_1949,Japan
10270,21,100,Shipped,Classic Cars,S10_1949,Australia
10280,34,100,Shipped,Classic Cars,S10_1949,Italy
10291,37,100,Shipped,Classic Cars,S10_1949,Sweden
